NumberOfExample,AverageQuadraticErrorTest,AverageQuadraticErrorLearning,MistakePerEpochTest,MistakePerEpochLearning
0.0,79.91647998996177,79.91097601613191,90.85833333333333,90.99166666666667
1000.0,71.21254377550606,71.33714887288858,54.574999999999996,55.69166666666666
2000.0,66.7046948538921,67.1841459208696,53.43333333333333,53.947916666666664
3000.0,60.18916491390192,61.01489925832282,39.5,41.28333333333333
4000.0,59.51293352647985,60.04504831289943,36.55833333333333,37.639583333333334
5000.0,59.666320629601444,60.20914904901245,43.483333333333334,44.71458333333334
6000.0,56.444687265669614,57.35177306607445,39.95,41.44583333333333
7000.0,57.043313446585145,58.13815562097332,38.54166666666667,40.30625
8000.0,55.50959588484458,56.702972366065055,33.141666666666666,34.72708333333333
9000.0,57.8729824956914,58.951482191615625,40.225,41.8125
10000.0,53.81508229315298,55.031635636720274,32.608333333333334,33.4875
11000.0,52.23423182362065,53.56192204420965,32.28333333333334,34.60208333333333
12000.0,51.65208377406528,53.0094797689746,30.366666666666664,32.454166666666666
13000.0,53.02965243702449,54.18811418191275,30.633333333333333,32.43333333333333
14000.0,51.40313554378032,52.4129298441808,31.324999999999996,33.0
15000.0,53.58656178902379,54.8581567097159,32.574999999999996,34.699999999999996
16000.0,50.98732344014202,52.343439504515096,30.8,32.93333333333333
17000.0,53.20236825774012,54.49844404840996,33.21666666666667,35.079166666666666
18000.0,54.289257767328756,55.302761416660296,32.95,34.575
19000.0,55.7125483409354,56.86272136515598,35.30833333333334,36.60208333333333
20000.0,54.31895208907383,55.415250476225395,31.900000000000002,33.12083333333333
21000.0,51.68540904516637,52.935412924751944,30.65833333333333,32.01041666666667
22000.0,52.50920872936569,53.72625583474237,33.1,34.43541666666667
23000.0,53.02686217282593,54.05406702612697,34.291666666666664,35.6875
24000.0,55.14747558942529,56.33363770583764,30.866666666666664,32.225
25000.0,51.44139146675397,52.437512100477235,29.583333333333332,30.666666666666664
26000.0,50.75522950474456,51.5982226471965,30.516666666666666,31.79375
27000.0,50.44615457195734,51.40639645017821,30.325000000000003,31.67916666666667
28000.0,48.6625695194446,50.004923404857124,29.30833333333333,31.208333333333332
29000.0,50.171001953597916,51.26506719345828,27.766666666666666,29.46875
30000.0,49.64690968304492,50.637395792343575,29.21666666666667,31.25625
31000.0,50.02807427787111,50.83332129753757,30.533333333333335,31.847916666666663
32000.0,50.546921052029404,51.6046921293942,28.908333333333335,30.454166666666666
33000.0,51.24180946209304,52.0478451341512,32.04166666666667,32.74583333333334
34000.0,51.69098042994151,52.84672246986717,31.55,32.63333333333333
35000.0,49.67225899392934,50.757156999579465,29.141666666666666,30.6375
36000.0,51.24639318173383,52.308920355039405,31.291666666666668,32.895833333333336
37000.0,52.29042997699288,53.338548555013624,31.225,32.89791666666667
38000.0,50.26511715330112,51.4682803777473,29.81666666666667,31.354166666666668
39000.0,49.707804987320664,50.96681871214446,29.175,30.804166666666667
40000.0,49.84519590747659,51.3532126838833,28.65,30.360416666666666
41000.0,49.52606799434839,51.169812990954235,29.183333333333334,30.977083333333333
42000.0,52.32585940233461,53.78269560869663,31.758333333333333,33.56041666666666
43000.0,50.292765731554525,51.389048534931234,30.875000000000004,32.045833333333334
44000.0,48.70460544765562,49.68371074472323,29.225,30.602083333333336
45000.0,48.77624451844421,50.03031107146746,28.26666666666667,29.743750000000002
46000.0,49.26189648321891,50.793826762353724,29.30833333333333,31.233333333333334
47000.0,48.131495879779926,49.38710807690436,27.166666666666668,28.385416666666668
48000.0,48.60157494353917,49.89975613321633,28.116666666666667,29.310416666666665
49000.0,48.811755908072826,50.00374692380193,28.383333333333333,29.714583333333334
